Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	0	NA	NA	NA	NA	NA
Rp1	0	NA	NA	NA	NA	NA
Sox17	0	NA	NA	NA	NA	NA
Mrpl15	1203.82976901333	0.17278483784568	0.127932684415671	1.35059182596589	0.17682622066743	0.277923781960467
Lypla1	1599.27076654699	-0.314409702650927	0.152695982657499	-2.05905680803769	0.0394887968092319	0.0787165274553663
Tcea1	2695.22694439114	-0.248287346782443	0.150617946304276	-1.64845792201188	0.0992587385184948	0.172981417295862
Rgs20	0.173167844535612	0.372074761756634	4.32790271740273	0.0859711472396319	0.931489353452678	NA
Atp6v1h	2076.12780994887	0.427719324902631	0.132857125532085	3.21939318790497	0.00128462208868066	0.00370047459985388
Oprk1	0	NA	NA	NA	NA	NA
Npbwr1	0	NA	NA	NA	NA	NA
Rb1cc1	853.288109454667	-0.0359590873367636	0.13942055791188	-0.257918113908936	0.796470104826616	0.865766103051998
Fam150a	0	NA	NA	NA	NA	NA
St18	7.30040027840567	4.76295086521167	1.259456804276	3.78175007593821	0.000155729670727391	0.000536432069228163
Pcmtd1	340.796744482095	-1.16080350146887	0.176691387708522	-6.56966656113304	5.04280578289014e-11	3.61034911201484e-10
Sntg1	0.274353133823832	0	4.32790271735327	0	1	NA
Rrs1	1652.93251832057	0.28203999083107	0.124232561371838	2.27025819734088	0.0231919217896148	0.0496177751364653
Adhfe1	3.97019492142663	-0.164979093212506	1.0122583875428	-0.162981206421991	0.870533231914192	0.916466372588455
2610203C22Rik	2.83350481505662	-0.61570427690173	1.4066553427191	-0.437707985889107	0.661597979731139	0.762475295452521
3110035E14Rik	0.44237601962842	-0.349297814521896	4.32790271735296	-0.0807083331890451	0.935673909512714	NA
Mybl1	265.898865022588	-0.383237866841291	0.257807991754645	-1.486524386746	0.137140471315667	0.226080267123479
Vcpip1	2853.48825316037	0.20968754735366	0.117948821055395	1.77778417348638	0.0754393087936945	0.13715166799822
1700034P13Rik	2.16401926539905	0.522366499254343	1.03674109372339	0.503854339735193	0.614363738855968	0.724905617869586
Sgk3	2312.38109946889	1.39988643507019	0.128658274915613	10.8806560323335	1.42533428789302e-27	2.89376007751304e-26
Mcmdc2	11.8361159707491	2.86685174486814	0.742604238698744	3.86053781472038	0.000113137729256788	0.000398162711579444
Snhg6	466.690374974331	-0.112424366004322	0.160822372204326	-0.699059244453164	0.484515007087488	0.610241628736844
Snord87	3.0668954792227	0.98733945395197	1.19146455409795	0.828677152464245	0.40728711758233	0.534026702186238
Tcf24	327.702879542471	-1.71805181931598	0.17534558946365	-9.79808972995094	1.14734886749217e-22	1.81496817453348e-21
Ppp1r42	0.950557887499627	-0.229156331964447	1.79244657797118	-0.127845557452441	0.898271196218523	0.935168296416125
Cops5	2884.47685665343	0.219924831974991	0.11443680430489	1.92180158569487	0.0546307287386684	0.104488842807301
Cspp1	483.797543281847	-0.234730266903223	0.176670764084068	-1.32863107328572	0.183969715195226	0.287116087357198
Arfgef1	3702.47054488621	0.135196424276734	0.164021215259482	0.824261813100534	0.409790811439093	0.5365037073935
Cpa6	0	NA	NA	NA	NA	NA
Mir467e	0	NA	NA	NA	NA	NA
Prex2	0.295436550168898	-0.349290662274961	4.32790271734012	-0.0807066805997042	0.935675223800817	NA
A830018L16Rik	16.4731118782648	-4.27035568837682	0.609539781089588	-7.00586872401225	2.45457984913309e-12	1.94804382572108e-11
Mir6341	0	NA	NA	NA	NA	NA
Gm17644	0.0782795868570406	0	4.3279027174009	0	1	NA
Sulf1	0	NA	NA	NA	NA	NA
