Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	0	NA	NA	NA	NA	NA
Rp1	0	NA	NA	NA	NA	NA
Sox17	0	NA	NA	NA	NA	NA
Mrpl15	1688.27121214167	-0.140995811044363	0.240242803466594	-0.586888801703351	0.557278391161304	0.730226857383778
Lypla1	1885.37742971764	0.02405299142159	0.263176652669392	0.0913948527638045	0.927178851533254	0.962941914839015
Tcea1	3124.53672912556	0.248309117923589	0.252995888485223	0.981474914119375	0.326358599225101	0.52338870281566
Rgs20	0.214578471597589	1.40984773910773	4.98526217922502	0.282803128185106	0.777327756238508	NA
Atp6v1h	2642.21057189521	-0.143495468989595	0.226976285011185	-0.632204677164945	0.527253141466073	0.706618306340711
Oprk1	0	NA	NA	NA	NA	NA
Npbwr1	0	NA	NA	NA	NA	NA
Rb1cc1	1037.39328420182	0.679915138577159	0.238423625732129	2.85171042294713	0.00434846945634167	0.0193794657168286
Fam150a	0	NA	NA	NA	NA	NA
St18	12.8958953692837	3.70172222679428	1.12923983987104	3.27806555887812	0.00104521117447635	0.00585221702401955
Pcmtd1	347.651893919922	0.397049044271586	0.295815378647357	1.3422190762601	0.17952497295877	0.349815419097607
Sntg1	0.519097102127983	0	4.99742379387542	0	1	NA
Rrs1	2216.53017764808	0.139593097214172	0.202597285630628	0.689017608403082	0.490812186716404	0.676597874673339
Adhfe1	3.17102037608748	0.545292473044211	1.64724643045657	0.33103272404304	0.740619767525421	NA
2610203C22Rik	1.49430604812414	-1.38958997963109	3.17625393444249	-0.437493351700481	0.661753596535627	NA
3110035E14Rik	0.0881164485630041	0	4.99742379394591	0	1	NA
Mybl1	271.548824838186	0.704610402268631	0.374399894071533	1.88197276074552	0.0598397141521782	0.155794032421114
Vcpip1	3187.89226144155	0.709202428528414	0.202480946528704	3.50256377544084	0.000460803454434769	0.00291842187808687
1700034P13Rik	3.3258174756541	-0.756003893809515	1.66329517607594	-0.454521785840253	0.649453315182314	NA
Sgk3	2767.43121112427	-0.489244873246015	0.212241608900288	-2.30513175894677	0.0211591952984255	0.0704454175796522
Mcmdc2	12.2160541977728	-0.697770884441635	1.17647686786018	-0.593102085985564	0.553112834524722	0.727205399144108
Snhg6	655.625544541763	0.776551834269542	0.251889204161704	3.08291034883347	0.00204986899073118	0.0103406208512873
Snord87	3.05146526682108	0.204532687455616	2.20037970219968	0.0929533603910033	0.925940613747651	NA
Tcf24	493.342526926784	0.249224726577046	0.290378955123604	0.85827406628335	0.390741146112786	0.586571414635195
Ppp1r42	1.22473027735952	-2.47697767843383	3.59833542254318	-0.688367644360178	0.491221293789436	NA
Cops5	3713.49398512375	-0.00152712966783689	0.218183961958267	-0.00699927553854297	0.994415431708897	0.997817821065544
Cspp1	589.320777595114	0.201467271706391	0.268285731415225	0.750942924335326	0.452687005971796	0.64423020213461
Arfgef1	4164.82759652204	0.904387658012471	0.278395510331098	3.24857127522234	0.00115986146699117	0.00638213377343032
Cpa6	0	NA	NA	NA	NA	NA
Mir467e	0	NA	NA	NA	NA	NA
Prex2	0.222470186626279	0	4.9974237939001	0	1	NA
A830018L16Rik	11.0396992384873	-1.40037423216394	2.25718654498165	-0.620406955409759	0.534989894355803	0.714040319104195
Mir6341	0	NA	NA	NA	NA	NA
Gm17644	0	NA	NA	NA	NA	NA
Sulf1	0	NA	NA	NA	NA	NA
Slco5a1	0.838206951664441	2.17468631304284	4.33226074974875	0.501974936104426	0.615685151672442	NA
Prdm14	0	NA	NA	NA	NA	NA
Ncoa2	3408.62594022194	-0.62770648225807	0.261588950660828	-2.39959096388572	0.0164134011873488	0.0573546408743277
Tram1	5464.97569306169	0.280389752322908	0.307678956495834	0.911306237892499	0.362134040619238	0.559922045967653
Lactb2	226.856630137992	0.00824760080387668	0.261600926041542	0.0315274144043625	0.974848929474938	0.988089443536861
Xkr9	0	NA	NA	NA	NA	NA
Gm5523	10.0810884592833	-0.10021001732489	0.980554388388432	-0.102197306453942	0.91860006570133	0.959483235081421
Eya1	0	NA	NA	NA	NA	NA
Msc	0	NA	NA	NA	NA	NA
Trpa1	0.0881164485630041	0	4.99742379394591	0	1	NA
Kcnb2	0	NA	NA	NA	NA	NA
Terf1	576.456152753107	0.328793948877326	0.213423032926581	1.54057387512825	0.123420530251613	0.266305387630839
Sbspon	0.940799734240439	0.865842825685012	3.62982832622086	0.238535475474255	0.811465803830112	NA
4930444P10Rik	0.138124610722495	-1.38438133819804	4.9932483426645	-0.27725064791376	0.781587651860727	NA
Rpl7	20883.5467997721	0.0832434300740037	0.250574411743862	0.332210418033807	0.739730377624524	0.861136237161671
Rdh10	150.694737844872	0.0655473409217719	0.333466512471284	0.196563488297544	0.844169145241269	0.922142775400077
Stau2	233.735759613843	0.75652201203197	0.442041412026933	1.7114279147807	0.0870021477159839	0.204864031587637
Ube2w	1484.12655181679	0.546923745527946	0.241380646490747	2.26581440342986	0.0234627491312597	0.0763326476030946
Tceb1	2412.8165468745	-0.00701487095572294	0.253424659786407	-0.0276803013630767	0.977917134918532	0.989481109907668
D030040B21Rik	0.25161751166637	1.65741579548887	4.97022336431027	0.333469076538951	0.738780228263575	NA
Tmem70	1271.14245932436	-0.491361520351885	0.193284603905084	-2.54216585503715	0.0110167882993425	0.041486644226353
Ly96	32.6191403517276	-0.515635909564347	0.597752499937923	-0.862624430040687	0.388343993906081	0.584638089186476
Jph1	2.40533520903792	0.966417711743803	2.31768385815578	0.41697564072125	0.676696225231493	NA
Gdap1	0	NA	NA	NA	NA	NA
