Ctrl_0h_R2	Ctrl_0h_R3	Ctrl_CpG_2h_R2	Ctrl_CpG_2h_R3	Ctrl_CpG_6h_R2	Ctrl_CpG_6h_R3	SMRT_0h_R2	SMRT_0h_R3	SMRT_CpG_2h_R2	SMRT_CpG_2h_R3	SMRT_CpG_6h_R2	SMRT_CpG_6h_R3
Xkr4	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	9.55663163055458	9.5255393585574	9.54132979829643	9.5090484895039	9.68635465725361	9.66140073735563	9.48124712233027	9.48632035915658	9.55833467404006	9.53572490025444	9.86941492723915	9.77555827855195
Lypla1	10.4515350374963	10.4322433349585	10.4251859822274	10.4937972695014	10.3850058448067	10.1526295523275	10.4432823322334	10.3799139891339	10.2588274831351	10.2984070970425	10.2685442101173	10.2049041486751
Tcea1	11.0951817396307	11.1355879141973	11.0197875426339	11.1422493999089	11.071865430272	10.893422952998	11.2472901302235	11.1181513193492	11.1001567922973	11.1025390939686	11.2437003780263	11.0496103409247
Rgs20	-1.98171188142335	-1.98301722878119	-1.97713064905762	-1.97960339545376	-1.95223287978877	-1.97924241388163	-1.9801172127284	-1.9829333866228	-1.9521923462696	-1.97962040069867	-1.98012088016257	-1.97783459407699
Atp6v1h	10.5955751199724	10.45477845875	10.6040656835149	10.5239622499501	10.8167123450957	10.6616219864961	10.4302581337641	10.4562377581942	10.5610304857706	10.5587278438876	10.7434712712979	10.577328923329
Oprk1	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	9.36307616758898	9.43339241100501	9.22054280635031	9.2555399851044	9.5164067876491	9.25466107725243	9.48853831104643	9.45082834632713	9.36261687457198	9.41027785056581	9.31251869866715	9.17641035633424
Fam150a	0	0	0	0	0	0	0	0	0	0	0	0
St18	1.0049871261542	1.00250762764494	1.10218258971201	1.08526883951241	1.40522505738637	1.28686440456766	1.00823755194667	1.06516395399351	1.01084270055626	1.22001990792611	1.2133155269501	1.63155162109287
Pcmtd1	8.10255917853991	8.40962513377308	7.48337055322815	7.91431422259679	7.70788511665454	7.63748439874782	8.64167697628612	8.5310316089071	7.98811972573367	8.31345552997366	8.14977461381632	8.06180600984557
Sntg1	-2.21746623128998	-2.21797419524692	-2.21568348671539	-2.21664573330542	-2.21639527030954	-2.21650526063609	-2.21684568058719	-2.20754104659616	-2.21637949706216	-2.21665235074058	-2.21684710773558	-2.21595742046594
Rrs1	10.1744030146048	10.0781007879185	10.4341682014407	10.2171604968632	10.1832267648077	10.3645364863094	9.97995809099759	9.87065483400729	10.2571121249035	10.0162760349203	10.2637713987991	10.5188738359104
Adhfe1	1.55170278502962	1.70285461955978	1.73300770096894	1.492248170044	1.57045351888934	1.63775918169347	2.11147283412549	1.796501203043	1.7677798275524	1.63370110334636	2.03303146906838	1.49750726734184
2610203C22Rik	1.58586173267829	1.58133903028043	1.60389376436065	1.59374243943949	1.75971854434613	1.59516331328816	2.04541609093495	2.46460503532871	2.35411827805175	2.36784304651355	1.67185166494282	1.6914359315743
3110035E14Rik	-1.27157558386882	-1.27304162366384	-1.26171193023226	-1.26703589375025	-1.26565012022139	-1.26625867991075	-1.03796416284537	-1.27301803431229	-1.26556284925107	-1.26707250700896	-1.26815006773717	-1.20568306169002
Mybl1	7.52119717805338	8.01132243413726	7.70047346118988	7.88395322710955	7.80243597971065	7.40447929380782	8.52847659832925	8.32122234235731	8.31497174872867	8.12391708184155	7.68475541680455	7.3911119438278
Vcpip1	10.990238078573	10.9564436164051	11.2041522962476	10.8218078691479	11.1235127359843	10.9544518443959	11.2057930762843	11.1216752283172	11.4743066443146	11.0558262485812	11.6799975736176	11.4932514771962
1700034P13Rik	0.258625948277328	0.465853597394775	0.551848920914847	0.331034031897845	0.334460160771025	0.399285987443881	0.328370445828939	0.314876771982907	0.261557487252985	0.26078301060582	0.328351661274264	0.340690933460555
Sgk3	9.87635918854846	9.93197658256517	9.44334717619042	9.55682412740417	11.0257726207825	10.846367287999	10.2835123917795	10.2634992992325	9.77630455139685	9.77407992672657	11.1946967318645	10.9975495901881
Mcmdc2	2.23755537418807	2.28885326541826	2.19153803060984	2.17637206008889	3.04671669542678	3.10401137171149	2.39396674452594	2.5065973627369	2.41444508142848	2.33290793382177	3.27155200506965	2.9748196027967
Snhg6	8.2304583849179	8.27674496338994	8.29970118945953	8.32094283588	8.32474854408936	8.42562638900506	8.16190536717309	8.10991906633883	8.07651622080053	8.0559461548491	8.25334519197024	8.34750713591246
Snord87	1.41189207209675	1.46376872443907	1.6390630378672	1.80791085887267	1.67138095679331	1.81575402182541	1.5413877567766	1.4642095121265	1.55312646167266	1.60537447553713	1.59899687225325	1.68973417311232
Tcf24	7.66688846242399	7.53698239334025	7.3623001831042	7.16805332910222	6.81149075577676	6.65819712403027	8.039512101931	8.07237362152141	7.35099654341471	7.41093636696821	7.42411405276196	7.39882702470371
Ppp1r42	-0.470153831439675	-0.475412209483658	-0.526435055300015	-0.398831679962835	-0.457884235384078	-0.5277206330404	-0.463243778492695	-0.475084998140021	-0.457691220201961	-0.527937011521703	-0.52821721452908	-0.452391170378304
Cops5	11.0546497424446	10.9619241251901	11.1855490636448	11.1534483359436	11.1308824451882	11.1007028915168	11.0458519052997	11.0242661868992	11.2635529267546	11.1985177798891	11.2224501116881	11.1266686784495
Cspp1	8.34571634417915	8.52933637635045	8.14123698671027	8.06806854106033	8.55435662877379	8.42797492647188	8.70954381655828	8.64841979688786	8.48081219302444	8.33868755393712	8.53183039771752	8.37376851675412
Arfgef1	11.4509284476252	11.5177615727092	11.3247117214803	11.3875996400081	11.6037538128852	11.4162644952943	11.5687558590772	11.5357616508861	11.4970103147298	11.4333637196848	11.8040790146597	11.6936856288734
Cpa6	0	0	0	0	0	0	0	0	0	0	0	0
Mir467e	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	-1.74501347834402	-1.71502212229895	-1.73960871592309	-1.74252596738108	-1.74176663651154	-1.74210009515285	-1.71160079447034	-1.71492320853279	-1.74171881661861	-1.74254602951749	-1.74313647601376	-1.74043920328617
A830018L16Rik	4.71407570290197	4.8625691891562	4.1419737426956	4.65765837322874	3.06847526896241	3.33142759237305	3.18031206846622	3.26461614221785	2.98804877434577	2.7935192801146	2.87909273522317	2.81703600841961
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644	-2.21782476303793	-2.21844763634287	-2.21563873391146	-2.2168186556471	-2.2165115340258	-2.21664640587503	-2.20431055196764	-2.2184076293348	-2.21649219262453	-2.21682677004901	-2.21706558410557	-2.2159746357372
Sulf1	0	0	0	0	0	0	0	0	0	0	0	0
Slco5a1	-1.51424136634979	-1.51664198607771	-1.5058161784262	-1.51036372184065	-1.36172253969962	-1.50969985296449	-1.51130866563561	-1.51648779482874	-1.50910549875389	-1.46124249465073	-1.51131541028849	-1.50711077966066
Prdm14	-1.98122068641215	-1.98242335169063	-1.97699982591407	-1.97927805953158	-1.97868505850349	-1.97894547372569	-1.95512698117345	-1.98234610477842	-1.97864771345825	-1.9792937270989	-1.95513036011754	-1.97764839675438
Ncoa2	10.6287539265514	10.6144235929734	10.5742660011064	10.4415458769096	11.0372962488899	10.8979423546687	10.6740900039027	10.6948403570624	10.5980605724949	10.6898569261862	11.0777649522178	11.0933828217833
Tram1	11.6320875656663	11.5645789952952	11.360200922665	11.4662942111562	10.8259505409714	10.6781854141742	11.7457218072588	11.765845863563	11.5272431773788	11.5997371746686	10.7317045523087	10.6756788704551
Lactb2	7.71132579202059	7.87272931280918	7.44359056327878	7.41082232164831	7.97420810857701	7.58072819430713	7.92500764062654	7.91874381411562	7.53358488208732	7.64324974460748	7.89320040923337	7.70981690788981
Xkr9	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	1.73040991318875	1.57933178000153	1.6687313492218	1.57343848278725	1.5817668104496	1.57808276421316	1.62084711272471	1.48463043704577	1.45598239674248	1.57322137964826	1.44857842306721	1.53226651161995
Eya1	0	0	0	0	0	0	0	0	0	0	0	0
Msc	0	0	0	0	0	0	0	0	0	0	0	0
Trpa1	0	0	0	0	0	0	0	0	0	0	0	0
Kcnb2	0	0	0	0	0	0	0	0	0	0	0	0
