Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
2610203C22Rik	4.65142014917231	6.09924458081825	1.82483371359067	3.34235636671626	0.000830703350538866	0.00419510103551594
A830018L16Rik	19.6256010910647	-5.33937730887761	1.16011916490825	-4.60243867215133	4.17572541297938e-06	4.0560571638432e-05
Stau2	150.205793948664	1.47781791105484	0.240714229945375	6.13930431694962	8.28836531195243e-10	1.76396239828463e-08
Jph1	9.37470268936929	6.80794285074175	1.64013911027349	4.15083257761381	3.31268027097667e-05	0.000255521129631265
Fam135a	285.999594332164	2.26734076654402	0.244808857906962	9.26167780826666	2.01244653949225e-20	1.34991963685732e-18
Arhgef4	24.8495617764378	-3.3435273464959	0.924327890524378	-3.61725247152187	0.00029774684513563	0.00173318154469682
Hs6st1	1184.34139729731	-1.06739412632986	0.237076976269958	-4.50231035979816	6.72187253018643e-06	6.19127468416596e-05
Arid5a	314.13289105713	1.41306313775972	0.197371809724025	7.15939697637438	8.10327157752314e-13	2.6620286013135e-11
Il1rl1	18.5357170444919	-3.44409485465067	0.868377309299382	-3.96612718661363	7.30498921740305e-05	0.000515655767787151
Fhl2	17.2112845784309	2.24334840737107	0.781583743640036	2.8702598098103	0.00410134656422868	0.0161631658507837
Bivm	183.630008501236	-1.06385020597903	0.24889033837296	-4.27437325584276	1.91675701774636e-05	0.000157520788398758
Nabp1	1458.72216722214	1.07255881576612	0.218409225708832	4.91077614640685	9.07166030326183e-07	1.04425976464861e-05
Cflar	3757.53405746842	1.72697055149576	0.383379284315968	4.50460059305774	6.64978929629886e-06	6.13370053737804e-05
Tmem237	97.0383289167427	1.24616365670034	0.28346897202266	4.39612013903493	1.10202954611701e-05	9.57234070837366e-05
Als2	824.375902553424	1.15747099388897	0.179548704482017	6.44655720144666	1.14419444465172e-10	2.77115675328504e-09
Icos	8.45938116115635	3.56377041230278	1.10709177071707	3.2190379393702	0.00128621466322418	0.00607408118880507
Nrp2	814.471343249268	5.27894098442916	0.297938023662759	17.718252002653	3.03187871635221e-70	2.77460215099318e-67
Adam23	318.536698859572	2.14632891209259	0.242840176505357	8.83844239853467	9.70622589719351e-19	5.78400772999271e-17
Map2	53.968130707616	8.94851368905238	1.49407015663353	5.98935307644144	2.10677352806539e-09	4.14980162907134e-08
Mreg	132.951395152203	-1.93834458173559	0.337589017939859	-5.74172878479391	9.3714834006884e-09	1.61598176755881e-07
Pecr	22.6242738090278	-1.46464813829255	0.551642766894483	-2.65506633312335	0.00792928145868224	0.0278252407692788
Xrcc5	19.7602299458881	-1.65720043900257	0.595729856551413	-2.78179852961517	0.00540585873301146	0.0202336728271524
Slc11a1	164.656064220933	-2.50826108309891	0.293881466203235	-8.53494136770204	1.40226521477011e-17	7.87974646124326e-16
Wnt6	53.6408853867299	-4.3064852416097	0.523243622338634	-8.23036355868398	1.86646091006214e-16	9.48932427766511e-15
Abcb6	144.854368809087	-1.05374091032521	0.236464686511741	-4.45622949400898	8.34137365107082e-06	7.47863395503984e-05
Glb1l	60.9161293719046	1.13498019094562	0.391697689907163	2.89759225083666	0.00376039129039076	0.0150474690981726
Speg	13.9780080948354	-3.22474671403322	1.05156720337118	-3.06661020208232	0.0021650098510398	0.0094508027977928
Pax3	3.47170803789326	5.15725730990156	1.87069518618989	2.75686672418585	0.00583581322100302	0.0215408928226709
Gm7609	114.8182744078	-1.38103328993842	0.375977518192061	-3.67318050446023	0.000239550140870656	0.00144293201919833
C130026I21Rik	994.790593391615	-1.22848193777338	0.136518058942181	-8.99867715152381	2.28453651371843e-19	1.41398462868409e-17
A630001G21Rik	239.856102949843	-1.65069975875711	0.241665944487131	-6.83050217216274	8.46178980913962e-12	2.43623485471229e-10
Arl4c	581.289395315449	-1.81537124802422	0.258314681196233	-7.02775095715577	2.09889083752625e-12	6.51113545045672e-11
Sh3bp4	1266.10176170146	1.286119456105	0.210999442446744	6.09536897913659	1.09185309374589e-09	2.28949620901347e-08
Kif1a	43.2805296382209	2.63099217854933	0.685959131645772	3.83549406542191	0.000125312132358289	0.000823755279514824
Rnf152	9.37756443905936	6.52948827953687	1.65148924189009	3.9536971322102	7.69528066013498e-05	0.000539170971993495
