Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
2610203C22Rik	4.65142014917231	6.27823511562319	1.8250488234619	3.44003680061235	0.000581635094313932	0.0031656367155268
A830018L16Rik	19.6256010910647	-3.48573792287668	0.675622810237183	-5.15929579354046	2.47880422526361e-07	3.21441697713334e-06
Stau2	150.205793948664	1.40545127634392	0.228607994235383	6.14786583052219	7.85324176382637e-10	1.66306997484535e-08
Jph1	9.37470268936929	6.85337724823297	1.64168927550604	4.17458854759251	2.98525093253547e-05	0.000237264484786876
Fam135a	285.999594332164	2.232642600066	0.229387482834403	9.73306203319633	2.17932000372593e-22	2.18136311622943e-20
Arhgef4	24.8495617764378	-3.49973598259195	0.650297963627931	-5.38174218333295	7.37683693292186e-08	1.07767428488706e-06
Arid5a	314.13289105713	1.10233353765066	0.221293524772235	4.98131853964201	6.31524861869266e-07	7.56884614618245e-06
2010300C02Rik	8.22217382261682	3.26441896671609	1.28028431783866	2.5497609563999	0.0107796802947875	0.0365658628373887
Il1rl1	18.5357170444919	-3.234046126529	0.743377483774084	-4.3504763019051	1.3584213649408e-05	0.000117993861204214
Fhl2	17.2112845784309	4.21615527839457	0.724286821329707	5.82111278879021	5.84571023412584e-09	1.06993199313743e-07
Nabp1	1458.72216722214	1.07156580300021	0.221446430444841	4.83893915493535	1.30533997592928e-06	1.44296943672182e-05
Inpp1	106.283268446112	1.37851919754075	0.285930021796234	4.82117683508988	1.42713773492958e-06	1.56144224252073e-05
Satb2	139.314367122441	-1.17701961495961	0.238935021730621	-4.92610755189583	8.38838375907937e-07	9.74360586775385e-06
Cflar	3757.53405746842	1.01699477387337	0.386813532498646	2.62916027602248	0.00855960081568949	0.0302692811621898
Tmem237	97.0383289167427	1.17071001366543	0.275922751186804	4.24289047796874	2.20659139274242e-05	0.000181434688382553
Icos	8.45938116115635	3.63764025761494	1.02366444419804	3.55354753037725	0.000380072509767039	0.00220638377668115
Nrp2	814.471343249268	5.88822665405181	1.45384496476583	4.05010630208444	5.11943718218641e-05	0.000380233212627086
Adam23	318.536698859572	1.90045556513105	0.233358333392977	8.14393699808725	3.82628365205816e-16	2.03412224689498e-14
Klf7	142.333060315705	1.20767207177235	0.278800411761956	4.33167248261986	1.47980955102206e-05	0.00012741478472913
Mettl21a	80.6354994382735	1.10962701762824	0.278832881898387	3.97954147327794	6.90483142482831e-05	0.000492291041819145
Map2	53.968130707616	6.14058959275732	0.817566586242786	7.51081281461985	5.87613635403884e-14	2.42855028928857e-12
Mreg	132.951395152203	-1.80321544680546	0.313467422581634	-5.75248117317792	8.79430647108849e-09	1.55410557941498e-07
Xrcc5	19.7602299458881	-1.54090505535573	0.579983354956608	-2.65680910010084	0.00788840982855959	0.0283336996701726
Slc11a1	164.656064220933	-3.46097751909923	0.343306856626717	-10.0812944812879	6.68396695163377e-24	7.51184075301157e-22
Wnt6	53.6408853867299	-5.68690387760214	0.736577727366869	-7.72071115689553	1.15682435305595e-14	5.1675421854514e-13
Abcb6	144.854368809087	-1.03432904196241	0.221077274357816	-4.67858600558072	2.88860004338467e-06	2.94655603151628e-05
Speg	13.9780080948354	-2.02545008930909	0.711740785498531	-2.84576931739325	0.00443042772533981	0.0175193333385968
