Gene	Ctrl.0h	Ctrl.CpG.6h	Emp_CpG_6h	Emp_Uns	NCoR1_CpG_6h	NCoR1_Uns	SMRT.0h	SMRT.CpG.6h
1	0610005C13Rik	6.37057524758084	6.39040817911868	6.42275483820806	6.46064412257547	6.39041787598542	6.44143765495232	6.29524874700232	6.31757095901339
2	0610007P14Rik	10.7527043302611	11.9676461627567	12.4416355437469	11.0778569628785	12.0645898395751	10.9503149588498	11.1070394960066	11.8245950391626
3	0610009B22Rik	8.3889754388948	8.48372662355484	8.86063342548522	8.78046013688542	8.47627209380749	8.64235386408758	8.74431649799211	8.87856791997343
4	0610009L18Rik	6.8314099221034	6.9607944736132	7.07635983423629	6.97814506619993	6.78741055045404	6.70160920664326	6.87690635236279	6.74237119468648
5	0610009O20Rik	9.66138071931127	9.28770056389098	9.48034716463501	9.84214072847541	9.57845600591515	10.008202920548	9.95766355921821	9.56823788747173
6	0610010B08Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
7	0610010F05Rik	9.4438306213508	9.34290260842264	9.22285187467794	9.19179653223235	9.07797161088943	8.93388888612743	9.77444537038971	9.538977744412
8	0610010K14Rik	9.68368059654755	9.90236912189542	10.3849831521065	10.2166487569698	9.88711889661332	9.73940252080697	9.63576614797836	9.86479896736971
9	0610011F06Rik	8.60376043465866	8.29239581946083	8.0592629140618	8.83755263125263	7.67770326035915	8.11527361043556	8.31530821578435	7.94825223882795
10	0610012G03Rik	9.2532822707975	9.35145859540258	9.49768417657539	9.4537603446229	9.45068452141705	9.59003765992652	9.37602607528333	9.37099591342981
11	0610030E20Rik	10.1351676515493	10.2843900514638	10.1141265067679	10.1749206401526	10.0669802506671	10.1922031330131	9.96560808058661	10.0285905275421
12	0610031O16Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
13	0610037L13Rik	8.70721295087965	9.05522501671716	9.46205433991043	8.73572883965639	9.20269934325366	8.75700681979355	8.87572446864313	9.41092945238791
14	0610038B21Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
15	0610039H22Rik	6.22191137551199	6.22191137551199	6.30235162096704	6.22191137551199	6.22191137551199	6.22191137551199	6.28529484451282	6.26016150887571
16	0610039K10Rik	6.55272696587858	6.7807473918047	6.50847216937825	6.36753354560427	6.5816238214588	6.38405514515903	6.44625944741864	6.5606290198323
17	0610040B10Rik	6.60302870769704	6.90161592183921	6.77529237777203	6.69075242270951	6.7952420156127	6.57824645261024	6.63038542174213	6.82289764381163
18	0610040F04Rik	6.28696245835989	6.41432180301291	6.66908158412041	6.4011094738922	7.04434171983356	6.3004804185915	6.31261910863821	6.60688838704702
