Gene	SMRT_0hr	SMRT_6hr_CpG	NCoR1_0hr	NCoR1_6hr_CpG
0610011F06Rik	-0.633150643092662	-0.690660667841924	-1.14475568514986	-0.746310442448839
1110051M20Rik	0.817122113392618	1.22491414273361	-1.45613538859731	-1.68348781543892
1600014C10Rik	0.323913011768406	2.49503442252509	-0.392992900048056	2.28430333006458
1700009J07Rik	-0.741425913293806	-2.1216344975567	0.514605300794855	-0.911955181697362
1700030C10Rik	3.39858549436079	4.21772751999524	5.76196017500435	8.41736780903685
1700048O20Rik	7.37382944745135	5.22369705976219	2.07940470734681	1.07276455132216
1700049G17Rik	0.952930593552925	0.619367276889282	-0.248658991083328	-1.44469460747018
1700112E06Rik	-5.59152528656444	-4.24142203982313	-5.06737890105987	-2.78361476888807
1700113A16Rik	-1.12629976545593	-1.00328018813783	-0.544574135545318	-0.695393292246474
1810014B01Rik	-1.38977016765916	-1.61757195041047	0.391876017636137	-1.43020608956609
1810020O05Rik	-0.139627994915342	1.94726467602758	1.70159796488193	1.06529273620746
2210013O21Rik	1.95651341293726	1.15020507035811	1.95091079603668	2.14287748569903
2410003L11Rik	7.0410774701425	5.78677199687669	1.52828323683787	2.77401110756247
2410006H16Rik	1.31570387667124	1.19518598039557	-0.0839687288785221	-0.626612843034101
2410017I17Rik	5.46943434886115	3.79930472675174	2.05226700905812	-1.45860036464454
2410137M14Rik	3.62464318976674	3.67092289211807	-0.779416255256822	2.62066613402997
2610020H08Rik	1.07909246198572	0.650850544104768	-0.842038164425779	-0.977701198447538
2700054A10Rik	5.31232427397989	6.19608432330188	2.09025438918109	2.43130757760922
2700081O15Rik	-3.3668738536632	-2.57808739239379	-0.183786155392891	0.791758594689852
2810025M15Rik	-1.31634046723614	-4.24612155283294	4.47461891778537	4.14990128012217
2900026A02Rik	-2.02985026709682	-3.015630516081	-0.399312198333288	1.0288481775715
3110002H16Rik	-0.667710652904625	-1.52088699008266	0.493217570613349	0.864280530080771
3110021N24Rik	-2.70192634083381	-4.31686683709593	-0.685672635179248	-1.97961427322444
3300002I08Rik	-0.895495023325477	-2.12385049634574	-1.1447737233467	-1.75273468245391
4632415L05Rik	-0.431366716305108	-1.21237892314545	0.723859220335159	1.45840016637108
4930486L24Rik	1.88183891157023	2.92634211750845	1.09606110715808	1.38645039181483
4930502E18Rik	7.25220850241233	5.48158589664175	5.01639786905619	6.15055857259265
4930512J16Rik	1.03689459439954	0.645618289660508	-0.148742372766404	0.810256998220937
4930539E08Rik	2.46365958731449	-2.60055379290355	-2.10565840988137	3.32847326202617
4930550L24Rik	3.16615730407018	1.42639913335704	5.92475767905048	4.31863483575024
4930552P12Rik	-0.939714568547506	0.627592145694671	0.713395671186746	1.21026098117361
4930599N23Rik	0.474992461834423	1.89235063041925	-0.114947495498063	0.838524704265526
4933402N22Rik	0	1.54937264984337	-2.5999807504836	3.0990702265262
4933430I17Rik	0.134100042473721	-0.858045040514155	0.416282071402863	2.75604299099026
5730403I07Rik	-0.888214790096353	2.1231247730025	-1.64583637074435	-2.96081340565365
5730507C01Rik	2.53520058047072	3.41116908676925	6.03837089974807	10.0850318940348
5730508B09Rik	0.49188988154809	1.24643350996066	-0.0146068634702024	1.79397827654449
5830444B04Rik	6.28932968421271	5.78161962203304	2.40500691724425	3.92369424509919
5930412G12Rik	5.58749518483339	4.66054473103975	4.49714110835058	4.71205701366178
6430531B16Rik	-3.05537449106106	-3.19023830383667	-1.15003101578706	-2.25009198154085
6430548M08Rik	-1.91546748849693	-0.875314579818722	0.629198547074971	0.988581788331545
6530402F18Rik	-0.573898670434556	-1.50251598555168	0.626180063855711	1.63826706343799
6720489N17Rik	1.81951623181932	0.808178263692341	-1.03812211481177	-1.73328597910544
8430419L09Rik	-0.159262285861726	-0.630727729722621	0.0149414313632398	-1.56874189619751
9030025P20Rik	1.15955884906611	1.83194581246999	0.337848484984909	-0.726544346434114
9330111N05Rik	2.4325779939337	2.47964911929002	1.45619553373136	0.955610737710072
9330158H04Rik	5.4364961831865	6.02178024547859	6.09237109123477	3.34883278604644
9330159M07Rik	1.6192596572025	1.81517926564942	0.1458441866487	0.770608083606424
9330175E14Rik	1.23360665664951	1.92853332003698	-1.86503850838582	0.716441633421895
9430020K01Rik	1.76085548764662	3.38941770620837	3.46285772011204	1.6618423987971
9930014A18Rik	4.66727191271608	4.00177809005288	3.95560154472871	3.94309190036881
9930111J21Rik1	0.0620616377144441	2.01877586817278	0.88416760322062	2.73739699383995
9930111J21Rik2	0.630034371052373	1.8297257399164	1.55199748086486	2.61252868568757
A230028O05Rik	0	-0.866518972135941	0	3.50567228341412
A230050P20Rik	0.304713625462753	2.39705359945605	-1.6781013795565	0.618683732127205
A430033K04Rik	0.074178429121351	-0.640475877032706	-0.248165311146737	-1.09453833006233
A530099J19Rik	3.48882582569765	3.84379862289634	1.67390154500891	0.541583997938048
A630012P03Rik	0	7.35330744646239	2.23898441368235	4.44913014198016
A830018L16Rik	-3.48573792287668	-3.31210638920279	-4.84157345687352	-1.40035762896523
A930015D03Rik	1.08078564167965	1.16733811813636	0.206066148455325	0.910647165012646
AA467197	2.76022911600662	5.03344024555217	1.42080762957907	0.821418724920911
Abca1	1.09129830961308	-1.43642891004234	4.34968559013242	5.81261713864789
Abca17	1.87587609456246	2.69580573632898	-2.86978808667668	-1.95675623645381
Abca3	-0.43608894304771	0.730115861629938	-1.43919333330433	-1.09033673380633
Abcb6	-1.03432904196241	-0.891940924761183	0.142040449044729	-0.730152530648855
